"lsoa11cd","CAUTH18NM","lsoa11nm","count_95Q1","count_95Q2","count_95Q3","count_95Q4","count_96Q1","count_96Q2","count_96Q3","count_96Q4","count_97Q1","count_97Q2","count_97Q3","count_97Q4","count_98Q1","count_98Q2","count_98Q3","count_98Q4","count_99Q1","count_99Q2","count_99Q3","count_99Q4","count_00Q1","count_00Q2","count_00Q3","count_00Q4","count_01Q1","count_01Q2","count_01Q3","count_01Q4","count_02Q1","count_02Q2","count_02Q3","count_02Q4","count_03Q1","count_03Q2","count_03Q3","count_03Q4","count_04Q1","count_04Q2","count_04Q3","count_04Q4","count_05Q1","count_05Q2","count_05Q3","count_05Q4","count_06Q1","count_06Q2","count_06Q3","count_06Q4","count_07Q1","count_07Q2","count_07Q3","count_07Q4","count_08Q1","count_08Q2","count_08Q3","count_08Q4","count_09Q1","count_09Q2","count_09Q3","count_09Q4","count_10Q1","count_10Q2","count_10Q3","count_10Q4","count_11Q1","count_11Q2","count_11Q3","count_11Q4","count_12Q1","count_12Q2","count_12Q3","count_12Q4","count_13Q1","count_13Q2","count_13Q3","count_13Q4","count_14Q1","count_14Q2","count_14Q3","count_14Q4","count_15Q1","count_15Q2","count_15Q3","count_15Q4","count_16Q1","count_16Q2","count_16Q3","count_16Q4","count_17Q1","count_17Q2","count_17Q3","count_17Q4","count_18Q1","count_18Q2","count_18Q3","count_18Q4"
"E01010579","West Yorkshire","Bradford 010A",4,1,3,3,3,3,2,1,1,5,5,1,7,3,4,5,1,1,2,3,2,2,4,2,NA,2,2,3,3,5,6,6,2,5,4,2,2,2,1,2,1,3,4,5,3,3,8,4,3,2,4,3,1,1,3,1,NA,3,1,1,2,3,4,1,1,2,3,1,1,NA,3,1,1,3,5,1,1,3,7,2,NA,1,5,1,2,1,1,3,1,4,1,4,1,2,3,2
"E01010580","West Yorkshire","Bradford 010B",2,1,3,2,2,5,3,1,2,7,4,8,1,6,5,4,2,5,5,9,5,5,7,3,1,8,4,4,3,5,1,6,2,4,1,2,3,1,4,1,2,1,6,3,NA,5,9,12,4,7,7,9,3,3,2,2,NA,2,2,4,1,1,5,3,NA,2,4,1,2,1,2,2,4,4,3,4,1,5,4,5,2,4,1,3,5,NA,5,2,1,4,2,5,2,6,2,4
"E01010581","West Yorkshire","Bradford 015B",9,4,5,6,3,10,5,9,1,7,4,10,7,4,2,8,5,5,10,9,4,6,7,6,9,8,8,12,10,6,8,8,5,9,10,9,8,8,9,12,5,14,8,9,5,10,10,5,5,5,13,9,1,7,2,6,2,1,18,10,3,4,7,3,2,4,2,5,3,2,5,2,6,2,9,1,2,5,4,5,3,6,6,6,4,2,2,7,4,7,4,7,6,6,5,6
"E01010582","West Yorkshire","Bradford 015C",1,NA,NA,NA,NA,NA,1,2,2,3,1,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA,NA,2,NA,1,1,1,1,2,2,1,5,1,1,3,1,2,1,NA,2,2,1,1,4,3,1,1,1,1,1,4,2,NA,2,1,2,NA,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,3,1,1,2,1,NA,NA,1,1,NA
"E01010583","West Yorkshire","Bradford 018B",2,NA,1,2,1,1,2,NA,NA,1,1,4,1,1,NA,2,1,2,4,5,1,2,NA,1,NA,3,NA,3,3,2,1,3,1,2,4,NA,2,NA,1,1,1,2,1,2,1,2,2,NA,3,NA,1,2,1,NA,NA,1,NA,NA,3,1,1,NA,NA,2,NA,NA,1,NA,NA,1,NA,2,NA,NA,2,NA,NA,1,2,1,NA,1,NA,2,NA,1,1,1,NA,1,2,1,NA,1,3,2
"E01010584","West Yorkshire","Bradford 015D",1,NA,1,2,1,3,1,NA,NA,1,NA,1,NA,4,NA,1,1,1,1,2,2,1,1,2,NA,3,4,2,2,2,1,5,3,2,2,2,1,3,1,1,NA,NA,NA,2,2,1,2,3,2,1,2,4,1,2,2,1,2,1,1,2,NA,NA,1,2,1,NA,2,1,2,1,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,3,NA,NA,1,4,3,2,3
"E01010585","West Yorkshire","Bradford 015E",1,2,NA,1,NA,3,3,NA,NA,NA,NA,1,2,3,1,4,1,1,1,4,NA,1,NA,1,NA,1,2,1,1,3,1,2,1,2,5,NA,1,3,3,3,1,2,3,6,2,2,3,NA,3,3,NA,1,3,1,NA,NA,NA,2,NA,3,NA,NA,NA,1,1,2,1,NA,NA,NA,2,NA,1,3,3,3,1,NA,1,NA,NA,1,3,3,2,NA,1,NA,1,NA,2,NA,NA,NA,1,4
"E01010586","West Yorkshire","Bradford 022A",NA,1,2,1,3,1,2,2,1,2,2,5,3,2,8,2,3,4,4,1,NA,1,4,2,1,1,2,4,1,4,3,4,3,4,3,2,3,5,3,6,2,3,1,1,1,NA,4,2,1,NA,1,NA,2,1,3,1,1,1,1,2,NA,5,NA,NA,NA,2,4,3,NA,NA,2,NA,1,3,NA,2,NA,1,3,1,1,1,3,4,2,2,3,5,1,NA,2,2,1,2,1,3
"E01010587","West Yorkshire","Bradford 022B",4,1,4,4,3,3,3,1,4,NA,2,4,2,2,2,5,1,NA,5,4,3,NA,4,6,2,3,4,7,2,7,7,9,3,5,1,10,10,8,3,11,2,7,3,4,2,6,3,6,6,7,10,2,1,3,1,1,NA,1,2,5,1,3,6,2,1,2,2,6,2,3,NA,1,NA,3,2,1,1,1,10,8,NA,2,4,3,NA,2,5,3,2,3,2,2,4,2,3,5
"E01010588","West Yorkshire","Bradford 022C",4,4,4,3,2,7,6,5,2,2,5,5,2,7,8,4,3,5,4,7,4,2,6,4,2,1,7,10,5,7,10,13,3,4,4,7,6,4,7,5,3,5,4,9,5,9,9,9,6,3,3,6,1,4,NA,1,2,4,2,4,1,2,1,2,3,NA,NA,1,3,1,2,NA,3,4,5,2,1,2,5,2,2,4,3,NA,1,NA,4,2,1,4,3,2,2,6,4,3
"E01010589","West Yorkshire","Bradford 022D",1,3,4,1,NA,2,4,5,4,7,4,5,4,6,4,5,6,5,6,NA,2,4,5,4,NA,4,5,4,4,4,3,6,5,5,6,3,5,5,2,1,3,2,8,1,5,3,8,5,3,6,6,5,4,1,1,1,2,1,3,4,3,3,NA,2,NA,1,4,5,2,1,2,1,2,NA,2,2,2,3,5,1,2,6,3,1,3,1,4,1,2,4,5,1,6,2,3,5
"E01010590","West Yorkshire","Bradford 031A",2,NA,1,NA,NA,3,1,NA,NA,2,2,3,NA,2,2,4,2,1,2,3,NA,2,3,5,1,2,3,NA,1,2,2,7,NA,2,3,6,1,3,5,2,5,NA,3,2,1,2,1,10,3,2,NA,2,NA,NA,2,1,NA,1,1,3,NA,1,NA,5,NA,2,2,1,NA,NA,1,NA,1,3,2,NA,1,2,1,2,NA,NA,4,2,NA,1,4,1,1,2,6,3,2,4,2,1
"E01010591","West Yorkshire","Bradford 022E",2,NA,4,1,2,3,5,3,3,5,5,1,3,3,3,3,2,2,4,6,3,3,5,3,3,5,8,6,3,11,6,5,3,3,3,2,6,2,3,4,3,5,1,6,2,2,4,5,6,3,6,4,2,4,4,NA,1,2,4,3,3,NA,1,2,NA,3,5,3,NA,1,4,2,3,2,2,4,5,1,2,5,1,1,1,4,NA,7,4,4,3,3,4,7,2,2,4,2
"E01010592","West Yorkshire","Bradford 031B",3,5,2,2,1,2,1,4,4,1,2,2,3,2,2,3,NA,3,3,4,2,6,7,3,3,NA,2,2,2,1,6,1,2,3,5,3,5,2,3,1,4,2,1,1,3,1,7,4,6,1,3,3,1,NA,2,1,2,4,2,NA,1,2,NA,1,3,3,4,NA,3,3,1,2,2,4,2,1,2,1,1,4,1,3,3,2,3,2,5,5,1,2,NA,3,3,5,1,8
"E01010593","West Yorkshire","Bradford 022F",1,2,2,4,4,5,5,1,3,4,4,1,2,7,2,1,4,2,3,5,5,3,7,5,2,2,2,3,5,8,7,3,6,5,5,4,4,5,1,9,1,4,2,5,8,2,5,5,3,5,6,3,NA,2,NA,1,NA,1,2,2,1,1,2,1,3,4,NA,NA,1,3,3,5,NA,NA,6,3,3,2,4,5,3,1,2,3,1,NA,5,2,2,5,4,4,4,1,3,5
"E01010594","West Yorkshire","Bradford 031C",2,6,2,4,4,5,4,4,3,3,4,5,1,1,1,1,2,4,3,2,2,5,NA,2,4,4,3,4,4,2,7,4,1,4,5,4,2,5,2,5,2,1,4,6,2,1,4,4,1,9,2,1,1,NA,NA,2,NA,NA,1,NA,NA,1,1,NA,NA,NA,3,3,2,1,2,NA,1,2,2,3,NA,3,4,5,NA,5,4,1,2,1,4,3,4,1,1,5,2,5,1,4
"E01010595","West Yorkshire","Bradford 031D",2,1,2,1,3,4,1,2,2,1,2,4,1,4,NA,3,NA,2,2,NA,2,NA,1,2,2,7,6,7,6,3,7,1,4,4,6,2,4,5,3,5,2,7,2,2,1,1,1,2,1,NA,5,3,2,1,3,1,2,NA,1,1,1,3,NA,1,1,2,1,2,NA,2,1,2,NA,1,NA,1,2,1,2,3,4,1,3,1,1,1,1,3,8,2,2,6,6,NA,6,2
"E01010596","West Yorkshire","Bradford 022G",6,3,3,10,2,3,3,3,1,4,3,3,2,4,7,2,4,4,7,11,2,5,6,5,3,4,10,7,2,5,11,9,2,4,8,3,5,5,1,5,NA,7,4,3,3,4,7,5,2,4,9,5,2,1,2,3,2,1,2,2,1,2,3,4,2,2,4,6,7,4,2,5,3,3,4,2,8,5,6,6,1,4,7,7,5,3,2,6,5,4,4,2,3,1,2,4
"E01010597","West Yorkshire","Bradford 028A",2,5,5,3,2,3,3,3,NA,3,5,2,3,4,3,4,1,3,2,2,3,4,4,4,13,7,8,4,7,7,9,9,4,2,3,6,5,8,6,5,1,6,2,5,3,7,10,2,4,7,4,NA,5,4,1,2,1,1,1,2,1,1,1,2,5,1,2,3,2,4,2,3,3,NA,6,2,1,4,1,9,3,5,4,3,3,7,9,4,2,6,3,6,1,2,4,3
"E01010598","West Yorkshire","Bradford 028B",2,3,5,5,2,5,2,5,4,4,8,5,5,10,2,6,7,10,6,9,5,8,7,11,6,8,8,6,4,6,5,8,6,9,6,10,4,10,10,9,6,5,11,7,2,11,10,8,4,13,7,1,4,3,1,1,1,NA,5,4,1,1,2,6,3,5,1,3,3,2,4,NA,4,2,3,4,6,3,7,4,NA,6,3,4,8,6,7,4,2,3,9,3,5,3,4,6
"E01010599","West Yorkshire","Bradford 028C",8,7,9,12,16,7,7,11,NA,3,2,4,3,4,1,8,2,6,4,2,4,4,5,3,2,6,8,7,6,9,5,4,6,3,7,6,6,6,5,4,4,7,2,2,5,6,3,8,7,5,2,3,1,3,1,NA,NA,NA,2,1,1,3,1,3,2,2,2,4,1,1,2,2,3,4,1,4,4,3,3,1,NA,2,1,NA,4,3,NA,4,4,2,4,NA,1,2,2,4
"E01010600","West Yorkshire","Bradford 028D",NA,4,5,6,3,6,2,5,NA,4,7,6,2,2,4,6,6,5,4,4,5,1,3,4,6,2,4,7,4,7,8,9,6,6,5,8,9,7,5,6,1,4,3,5,5,7,4,6,7,4,3,6,4,3,NA,NA,2,NA,3,1,3,5,NA,3,1,3,4,3,4,2,1,1,NA,2,1,1,1,1,1,5,2,3,1,5,4,2,3,NA,1,2,7,3,6,4,4,4
"E01010601","West Yorkshire","Bradford 032A",NA,2,2,3,NA,1,2,1,1,1,10,3,5,4,2,2,NA,NA,3,NA,3,1,1,4,5,3,4,6,NA,7,3,5,3,7,3,1,3,6,4,4,3,3,4,4,6,2,3,11,8,7,5,1,3,1,NA,3,2,2,2,1,2,1,NA,3,NA,NA,2,3,1,2,2,2,1,1,3,2,1,4,3,NA,4,1,2,3,7,5,5,2,4,NA,1,3,9,2,1,4
"E01010602","West Yorkshire","Bradford 028E",4,3,4,4,4,4,1,6,5,8,7,7,8,4,3,10,3,6,11,6,5,8,9,10,4,9,15,11,10,11,15,16,6,8,6,8,9,11,9,6,3,5,6,7,10,8,12,8,13,8,9,2,6,2,NA,4,1,3,4,3,2,5,3,3,3,1,5,5,1,4,4,2,4,5,1,5,3,4,5,4,8,5,4,9,8,6,5,2,4,5,3,10,7,6,3,6
"E01010603","West Yorkshire","Bradford 024A",3,3,1,5,4,4,7,6,3,5,11,7,2,6,6,10,4,9,7,9,4,9,4,8,2,7,10,5,8,9,5,9,4,3,11,5,7,5,4,2,9,3,12,9,6,10,10,11,7,8,4,3,3,6,2,3,NA,6,5,7,2,2,3,4,4,2,3,4,4,5,2,4,3,1,5,1,5,6,4,6,1,3,3,7,10,1,5,2,7,5,11,5,5,5,8,10
"E01010604","West Yorkshire","Bradford 024B",2,4,4,2,3,3,6,9,5,3,7,8,2,4,4,4,4,6,4,4,4,4,5,4,NA,3,9,10,11,9,10,5,3,4,6,9,5,6,4,5,2,3,14,5,6,9,6,13,2,3,7,9,3,3,1,3,2,3,8,5,1,3,6,5,2,3,12,2,1,3,6,4,5,3,6,2,4,6,7,4,6,5,5,6,6,3,6,3,8,7,6,4,5,2,3,7
"E01010605","West Yorkshire","Bradford 024C",3,3,4,7,2,2,4,4,1,4,1,1,2,3,5,5,3,3,3,3,4,3,3,5,4,7,6,7,9,12,6,11,3,4,10,7,3,11,7,1,6,2,8,9,5,6,6,5,4,5,1,10,1,1,1,1,NA,3,1,2,1,1,3,1,3,1,1,2,4,1,4,4,3,4,3,4,2,2,4,4,5,2,2,3,5,1,1,2,NA,2,3,6,7,6,4,4
"E01010606","West Yorkshire","Bradford 039A",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"E01010607","West Yorkshire","Bradford 039B",1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,1,2,1,NA,1,2,NA,NA,NA,NA,NA,1,2,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,1,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"E01010608","West Yorkshire","Bradford 045A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010609","West Yorkshire","Bradford 046A",NA,11,3,3,5,6,4,3,3,2,4,3,4,6,6,1,4,3,4,1,1,3,4,5,6,5,6,4,3,4,7,7,4,4,7,5,3,4,10,5,2,3,5,3,3,2,5,4,4,2,3,4,2,2,2,2,NA,3,1,2,6,2,2,4,2,3,1,NA,2,2,1,2,3,2,4,4,2,4,2,1,2,1,1,1,1,2,NA,9,1,3,2,3,4,2,3,4
"E01010610","West Yorkshire","Bradford 046B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,3,2,6,NA,NA,1,1,1,1,1,NA,4,1,5,NA,NA,NA,1,1,NA,2,NA
"E01010611","West Yorkshire","Bradford 046C",NA,NA,3,1,1,NA,NA,3,NA,NA,1,3,NA,1,4,3,3,NA,NA,NA,NA,1,1,1,5,4,5,5,8,6,9,3,2,10,5,7,2,2,2,1,2,3,3,1,8,2,8,9,4,2,3,3,2,1,1,1,1,NA,2,NA,1,NA,NA,1,1,NA,3,1,1,2,1,NA,2,NA,1,NA,1,1,1,NA,NA,1,NA,1,1,2,1,1,1,2,3,NA,2,2,1,2
"E01010612","West Yorkshire","Bradford 052A",NA,NA,2,1,NA,2,2,NA,NA,1,NA,1,1,4,6,NA,5,7,3,2,1,4,1,1,NA,3,1,2,4,NA,1,2,2,NA,3,4,1,3,3,4,2,3,1,1,2,3,1,6,4,1,2,3,2,4,2,1,NA,NA,1,NA,NA,NA,1,NA,1,2,NA,1,NA,NA,1,1,3,NA,1,NA,NA,2,1,1,2,1,1,1,3,NA,2,NA,1,NA,1,1,NA,2,1,1
"E01010613","West Yorkshire","Bradford 045B",NA,1,1,NA,1,NA,1,NA,3,2,NA,4,1,NA,NA,1,1,1,1,NA,NA,2,NA,2,1,2,1,2,2,1,4,3,3,1,3,1,4,NA,2,1,2,3,NA,3,2,1,1,1,2,1,2,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,2,2,1,2,1,1,3,NA,2,NA,1,2,1
"E01010614","West Yorkshire","Bradford 046D",NA,2,1,2,1,2,1,NA,NA,NA,3,4,1,NA,4,3,3,6,3,1,2,2,2,1,3,1,3,3,3,5,5,4,2,8,3,1,5,5,1,1,NA,1,2,1,2,2,3,2,3,4,NA,3,2,NA,1,NA,1,2,2,2,NA,1,1,1,NA,2,1,4,NA,1,1,1,1,NA,NA,NA,3,NA,1,NA,NA,4,1,NA,NA,NA,2,1,1,NA,3,3,1,4,1,NA
"E01010615","West Yorkshire","Bradford 053A",1,4,5,3,4,2,1,2,NA,2,2,2,2,3,NA,3,3,4,NA,2,2,1,2,1,4,NA,3,4,3,2,4,4,2,4,7,2,4,1,3,1,2,2,1,NA,1,3,4,4,4,4,3,4,5,4,2,NA,NA,NA,1,4,2,NA,NA,1,NA,2,1,NA,1,NA,NA,2,3,1,2,6,NA,2,3,2,2,NA,1,5,2,2,2,3,1,3,NA,2,3,5,3,3
"E01010616","West Yorkshire","Bradford 053B",1,NA,1,3,NA,1,2,4,2,NA,1,2,NA,NA,2,1,NA,1,4,2,NA,3,3,7,1,4,3,5,4,2,5,5,3,3,1,3,5,8,6,4,3,3,5,7,3,2,9,7,6,4,2,4,1,1,NA,3,NA,1,1,4,NA,3,2,NA,NA,2,NA,2,1,2,NA,NA,3,NA,1,NA,1,1,2,1,NA,3,3,3,1,1,3,5,1,3,4,2,5,2,2,2
"E01010617","West Yorkshire","Bradford 039C",NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,NA,NA,1,1,NA,2,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010618","West Yorkshire","Bradford 038A",1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,2,1,1,1,NA,NA,1,NA,1,3,2,2,1,2,1,3,1,1,NA,1,1,1,NA,NA,1,NA,1,1,1,1,NA,4,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1
"E01010619","West Yorkshire","Bradford 038B",4,4,2,3,6,3,1,4,2,4,6,5,1,NA,3,1,2,2,3,NA,2,4,4,5,3,2,7,4,3,3,2,4,4,3,NA,3,4,5,1,4,NA,3,3,3,2,5,5,2,9,2,1,6,NA,1,2,NA,2,NA,3,1,2,2,NA,3,1,1,1,1,1,2,NA,1,NA,NA,NA,1,NA,NA,1,1,3,NA,NA,NA,4,2,NA,1,2,1,1,NA,6,NA,3,2
"E01010620","West Yorkshire","Bradford 042A",NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,2,1,2,3,1,1,NA,NA,1,1,1,2,NA,3,NA,NA,NA,NA,2,NA,1,NA,2,2,1,NA,1,2,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,2,NA,NA,NA,NA
